file	story_id	tag	text	issue_type	line_number	context
Derech-Haemuna.xml		name	׳	punct_only	93	" 					דרך האמונה ומעשה רב. כשמו כן הוא מטעם הנז׳ וכל ענינים המובאים בפה לא 					מפה לאוזן מקובלים רק הכל נאמר גלוי ומפורש ושום ש…"
Derech-Haemuna.xml		name	״	punct_only	134	" 					א) פרשת יתרו אנכי ה׳ אלהיך וגו׳. רש״י ולמה אמר בל׳ יחיד א׳ ליתן פ״פ 					למשה ללמד סנגוריא על ישראל כו׳ ולמה ה׳ יחרה…"
Derech-Haemuna.xml		name	׳	punct_only	1789	" 					ובס׳ ב״א (בלקוטים) וז״ל בשם הרה״ק רש״ק אמר בעולם העליון שוקלין היערות 					והשדות שנ…"
Derech-Haemuna.xml		name	׳	punct_only	3867	"…הם עירוקיה מסתייה ובאותו 					הצער שמצטער נחשב לו כגלות וניצול באותה שעה והוא ית׳ יודע בחירתו של זה 					האיש מה שיבחר אם לעמוד אם לנוס וכשרואה ויודע שבחירתו תהי…"
Likutim-Hadashim.xml	Likutim-Hadashim_0020	persName	בן	short_fragment	459	"…עולם 					רק בשביל איש אחד ששמו כשמי יעקב יצחק 					 וערך שנה מקודם שבא היהודי 					בן מאטילזצ״ל אצלו בא אצלו עלם אחד ששמו יעקב 					 כשמו. ושמח הרבי זצ״ל עמו 					יצ…"
Peulat-Hatzadikim.xml	Peulat-Hatzadikim_0033	persName	ה	short_fragment	724	" 					הוא הי׳ אומר פירש התפלה בי זובר כל הנשבחות אתה הוא מעולם 					הענין הוא שהש""י זוב…"
Peulat-Hatzadikim.xml		placeName	שנ	short_fragment	32	"…					רוסקאפאדגורזע 					בדפוס של הנגיד מוהר״ר שאול חנני' דייטשער 					 לפ""ק. 				שנת תר""ס"
Tiferet-Hayyim.xml		persName	מק	short_fragment	121	"…מוה 					 שליט״א נתן נטע הכהןאבד״ק 					 הראה לפני חיבור מאא""ז הה״ק 					 אדמו״ר מקאלביעלא״אמגלניצא זצללה״ה זי״ע 					ומכבוד אא""ז הה״ק א""א אדמו״ר הרב ר' 					. זי״…"
Tiferet-Hayyim.xml		name	׳	punct_only	455	"…היתכן שבזה הטובות שעשיתי עמו 					אברהםיתגאה עמהם ויתכסה וישכח אותו כמ״ש 					(פ׳ עקב) ורם לבבך ושכחת את ה' 					וכמ״ש (פ׳ וילך) כי אביאנו אל ארץ זבת 					חלב וד…"
Tiferet-Hayyim.xml		name	״	punct_only	1103	" 					בא אל פרעה כי אני הכבדתי את לבו 					וגו׳ יבואר בדרך מוסר 					עפ״י ששמעתי מאאמו״ר ז״ל שאמר בשם 					אא""ז הה״מ ז״ל כי מהבת קול שיוצא בכל 					יום …"
Tiferet-Hayyim.xml	Tiferet-Hayyim_0009	name	:	punct_only	1903	"… לא יגורך רע ואין שייך שם כלל 					יום חולי ורע וממילא נתרפא. (אמר 					 לשקלים) : 				אלימלך"
Tiferet-Hayyim.xml		name	) :	punct_only	2748	"… 					מכ״ש שצריך לעשות המצות בשמחה כמו 					אדם שלא אכל איזה ימים (ס׳ דברי 					) : 				תורה"
Tiferet-Hayyim.xml	Tiferet-Hayyim_0019	name	) :	punct_only	3400	"…				לישראל צריך לבוא ליראה מאהבה לשמו 					ית׳ (שם פ׳ שמות בלק אמרי אלימלך 					) : 				שמות"
Tiferet-Hayyim.xml		name	׳	punct_only	3715	" 					והצלילות שידע בבירור שאין כוונתו לעצמו 					אם לכבודו ית׳ כמ״ש חז״ל כל תלמיד 					חכם שאינו נוקם ונוטר כנחש כו׳ וכמו 					שפירשו המפרשים …"
Tiferet-Hayyim.xml		name	׳	punct_only	3979	"…הם גודל השכל והם 					במעלת החכמה יותר מכל אדם מחויב 					לשער בעצמו על מה עשה ה׳ ככה לתת 					לי שכל הגדול הזה בודאי לא על חנם הוא 					כ""א שאייגע ואעמול בחורתו…"
Tiferet-Hayyim.xml	Tiferet-Hayyim_0022	name	״	punct_only	4627	" 					לעבוד להשי""ת יותר בשקידה זה ג״כ לא 					אוכל לומר שבאמת כל מה שהי' בכחי 					לעשות עשיתי רק זאת אוכל לקבל עלי …"
Tiferet-Hayyim.xml	Tiferet-Hayyim_0023	name	:	punct_only	5015	"… רבו הקדוש זצוקללה""ה זי""ע 					כי הכל תלוי בעצמו עכ״ל (ס׳ בית 					 הנ""ל פ׳ נשא) : 				יעקב"
