id,primary_heb_full,primary_rom_full
34,נאשלסק (פולין),Nasielsk (Poland)
223,מזריץ' (פולין),Międzyrzec Podlaski (Poland)
353,בוליחוב (אוקראינה),Bolekhiv (Ukraine)
420,פריסטיק (פולין),Frysztak (Poland)
422,פרנקפורט דמיין (גרמניה),Frankfurt am Main (Germany)
424,פשמישל (פולין),Przemyśl (Poland)
440,רומא (איטליה),Rome (Italy)
489,קרקוב (פולין),Krakow (Poland)
491,ראדזין פודלסקי (פולין),Radzyń Podlaski (Poland)
513,בודפסט (הונגריה),Budapest (Hungary)
559,אריאל (גדה מערבית),Ari'el (West Bank)
571,ברדיצ'ב (אוקראינה),Berdychiv (Ukraine)
576,בריסק (בלארוס),Brest (Belarus)
621,בנדין (פולין),Będzin (Poland)
633,אוסטרהא (אוקראינה),Ostroh (Ukraine)
639,אומסק (רוסיה),Omsk (Russia)
662,בגדאד (עיראק),Baghdad (Iraq)
670,בוריסוב (בלארוס),Barysaŭ (Belarus)
678,פטרבורג (רוסיה),Saint Petersburg (Russia)
697,ישראל,Israel
724,"שידלוביץ (מדינת מזובייצק, פולין)","Szydłowiec (Województwo Mazowieckie, Poland)"
740,אודסה (אוקראינה),Odesa (Ukraine)
958,קייב (אוקראינה),Kiev (Ukraine)
1473,גליציה (פולין-אוקראינה),Galicia (Poland and Ukraine)
1475,גליל (ישראל),Galilee (Israel)
1645,אוליקה (אוקראינה),Olyka (Ukraine)
1721,פולונה (אוקראינה),Polonne (Ukraine)
1742,שטרסבורג (צרפת),Strasbourg (France)
2036,ים סוף,Red Sea
3027,פונאם (פפואה גינאה החדשה : אי),Ponam Island (Papua New Guinea)
4090,צרפת (עיר קדומה),Zarephath (Extinct city)
5592,עקרון (עיר קדומה) (ישראל),Ekron (Extinct city) (Israel)
5979,פורוס (יוון : אי),Poros Island (Greece)
6170,ניאמיי (ניז'ר..),Niamey (Niger)
6258,איטליה,Italy
6566,ראנוויל (צרפת),Ranville Site (France)
7242,לבנון,Lebanon
7313,פולין,Poland
7509,קיל (גרמניה),Kiel (Germany)
7697,רייסין (ויסקונסין),Racine (Wis.)
7728,ברנו (צ'כיה),Brno (Czech Republic)
7772,ירדן,Jordan
8343,גאבורון (בוטסואנה),Gaborone (Botswana)
8777,פולבי (פולין),Puławy (Poland)
9129,אומן (אוקראינה),Umanʹ (Ukraine)
9317,קובלנץ (גרמניה),Koblenz (Germany)
9579,אלס (צרפת),Alès (France)
9622,גאלאץ (רומניה : מחוז),Galați (Romania : Județ)
9826,"גואלין (גואנשי, סין)","Guilin (Guangxi Zhuangzu Zizhiqu, China)"
10106,"סן קוונטין (איין, צרפת)","Saint-Quentin (Aisne, France)"
11964,רודניצה נד לבם (צ'כיה),Roudnice nad Labem (Czech Republic)
11968,קוסוב (אוקראינה),Kosiv (Ukraine)
12284,אוהל (הונגריה),Sátoraljaújhely (Hungary)
12363,אלקוי (ספרד),Alcoy (Spain)
12366,גאלאץ (רומניה),Galați (Romania)
12530,קארי (צפון קרולינה),Cary (N.C.)
12708,אנגליה,England
12727,רביץ' (פולין),"Rawicz (Leszno, Poland)"
12811,פטרסבורג (אלסקה),Petersburg (Alaska)
12861,ראסייני (ליטא),Raseiniai (Lithuania)
12945,מינאס (אורוגואי),Minas (Uruguay)
12982,עזה (רצועת עזה),Gaza (Gaza Strip)
13489,מנשה (ויסקונסין),Menasha (Wis.)
13830,רנדה (איטליה),Rende (Italy)
14551,או (צרפת),Eu (France)
14951,סאבו (פינלנד),Savo (Finland)
15420,פיראן (סלובניה),Piran (Slovenia)
15759,"שיניוה (פשמישל, פולין)","Sieniawa (Przemyśl, Poland)"
16354,ניאמיי (ניז'ר.. : מחוז),Niamey (Niger : Dept.)
16476,אלקסנדרה (דרום אפריקה),Alexandra (South Africa)
16759,קורניץ (בלארוס),Kurenet︠s︡ (Belarus)
17324,גרידיץ (פולין),Grodzisk Wielkopolski (Poland)
17518,ארדיאה (איטליה),Ardea (Italy)
18259,פשיסחא (פולין),Przysucha (Poland)
18307,אלטינו (איטליה),Altino (Italy)
18410,צ'ורטקוב (אוקראינה),Chortkiv (Ukraine)
18472,קאמפלי (איטליה),Campli (Italy)
18778,ארס (צרפת),Arès (France)
19100,בורו (הולנד),Borne (Netherlands)
19167,רומנובקה (אוקראינה),Romanivka (Ukraine)
19293,פרוט (אלבמה),Perote (Ala.)
19445,נואל (איטליה),Noale (Italy)
19737,מזריץ' (אוקראינה),Mez︠h︡yrichchi︠a︡ (Ukraine)
19927,סניצה (סלובקיה),Senica (Slovakia)
20407,פאנונהלמה (הונגריה),Pannonhalma (Hungary)
20456,בוהורודצ'ני (אוקראינה),Bohorodchany (Ukraine)
20838,קובלנץ (שווייץ),Koblenz (Switzerland)
22142,קוטוב (אוקראינה),Kuty (Ukraine)
22151,מירוב (גרמניה),Mirow (Germany)
23440,קיווא (פולין),Kijewo (Poland)
23521,סודילקוב (אוקראינה),Sudilkov (Ukraine)
