local_id	name_heb	name_rom	kima_id	kima_name_rom	confidence	occurrences	via
ED::מאגלניצא	מאגלניצא		18711	Mogielnica (Warsaw, Poland)	1.0	38	auto_reclassify
ED::לויצק	לויצק		18293	Drahichyn (Belarus)	1.0	13	auto_reclassify
ED::מאגליניצא	מאגליניצא		18711	Mogielnica (Warsaw, Poland)	1.0	13	auto_reclassify
ED::לאדי	לאדי		21831	Lyady (Belarus)	0.95	11	auto_reclassify
ED::דראהביטש	דראהביטש		977	Drohobych (Ukraine)	0.95	10	auto_reclassify
H-LOC_214	אקופ	Okopy	78338	Okopy (Ukraine)	1.0	7	auto_reclassify
H-LOC_558	קוצי		14064	Coucy-le-Château-Auffrique (France)	0.95	6	auto_reclassify
ED::ווינאווי	ווינאווי		945	Vienna (Austria)	0.6	6	auto_reclassify
ED::מעזיבוש	מעזיבוש		17325	Medz︠h︡ybiz︠h︡ (Ukraine)	0.95	6	auto_reclassify
ED::יאמפאלא	יאמפאלא		13851	I︠A︡mpilʹ (Khmelʹnyt︠s︡ʹka oblastʹ, Ukraine)	0.95	6	auto_reclassify
H-LOC_257	קארסטשוב	Korostyshiv	71244	Korostyshiv (Ukraine)	1.0	5	auto_reclassify
ED::פילוב	פילוב		8777	Puławy (Poland)	0.95	5	auto_reclassify
ED::יעמניץ	יעמניץ		19979	Jemnice (Czech Republic)	0.95	5	auto_reclassify
H-LOC_274		Pavoloch	72894	Pavoloch (Ukraine)	1.0	4	auto_reclassify
ED::טשירנאביל	טשירנאביל		15239	Chornobylʹ (Ukraine)	1.0	4	auto_reclassify
ED::לעחוויץ	לעחוויץ		22491	Lyakhavichy (Belarus)	0.95	4	auto_reclassify
ED::סעראצק	סעראצק		15085	Serock (Warsaw, Poland)	1.0	4	auto_reclassify
ED::פראסקרוב	פראסקרוב		797	Khmelnytskyi (Ukraine)	0.95	4	auto_reclassify
ED::פשיסחא	פשיסחא		18259	Przysucha (Poland)	0.95	4	auto_reclassify
H-LOC_645	שעפס		16554	Sierpc (Poland : Powiat)	0.95	3	auto_reclassify
ED::הראדענקע	הראדענקע		332	Horodenka (Ukraine)	1.0	3	auto_reclassify
ED::יוזעפאף	יוזעפאף		845	Józefów (Poland)	0.95	3	auto_reclassify
ED::זלאזיץ	זלאזיץ		23797	Zaliztsi (Ukraine)	1.0	3	auto_reclassify
ED::טאסט	טאסט		23166	Toczek (Poland)	0.95	3	auto_reclassify
ED::פינטשוב	פינטשוב		1687	Pinczów (Poland)	0.95	3	auto_reclassify
ED::מעזיבוזש	מעזיבוזש		17325	Medz︠h︡ybiz︠h︡ (Ukraine)	0.833	3	auto_reclassify
ED::פלעם	פלעם		77838	Falamya (West Bank)	1.0	3	auto_reclassify
H-LOC_190	זמיגראד	Nowy Żmigród	17046	Żmigród (Poland)	1.0	2	auto_reclassify
H-LOC_273		Obukhiv	90112	Obukhiv (Ukraine)	1.0	2	auto_reclassify
H-LOC_577	ווערחאווקע		23171	Verkhivka (Ukraine)	1.0	2	auto_reclassify
ED::פולניא	פולניא		86988	Falun (Sweden)	1.0	2	auto_reclassify
ED::סאדיגארי	סאדיגארי		23506	Sadhora (Chernivtsi, Ukraine)	1.0	2	auto_reclassify
ED::מגלניצא	מגלניצא		18711	Mogielnica (Warsaw, Poland)	1.0	2	auto_reclassify
ED::וינא	וינא		945	Vienna (Austria)	0.95	2	auto_reclassify
ED::טארטשין	טארטשין		23561	Torczyn (Ukraine)	0.95	2	auto_reclassify
ED::טארניגראד	טארניגראד		19986	Tarnogród (Poland)	1.0	2	auto_reclassify
ED::פאנו	פאנו		9794	Fano (Italy)	0.95	2	auto_reclassify
ED::בית דוד	בית דוד		21192	Bet David (Jerusalem, Israel)	0.95	2	auto_reclassify
ED::עמון	עמון		22019	Ammon (Kingdom)	0.95	2	auto_reclassify
ED::רומנוב	רומנוב		20961	Lenino (Mahili︠o︡ŭskai︠a︡ voblastsʹ, Belarus)	0.95	2	auto_reclassify
ED::דמתא	דמתא		8964	Damietta (Egypt)	1.0	2	auto_reclassify
ED::תורגמה	תורגמה		8120	Turkey	0.95	2	auto_reclassify
ED::ווינא	ווינא		945	Vienna (Austria)	0.95	2	auto_reclassify
ED::סאדיגורא	סאדיגורא		23506	Sadhora (Chernivtsi, Ukraine)	1.0	2	auto_reclassify
ED::רומאנוב	רומאנוב		20961	Lenino (Mahili︠o︡ŭskai︠a︡ voblastsʹ, Belarus)	0.833	2	auto_reclassify
ED::סכתה	סכתה		6241	Sukhothai (Thailand)	1.0	2	auto_reclassify
H-LOC_285		Sokolivka	15206	Sokolivka (Vasylʹkivsʹkyĭ raĭon, Kiev, Ukraine)	0.95	1	auto_reclassify
H-LOC_383		Strážnice	22460	Strážnice (Czech Republic)	0.95	1	auto_reclassify
H-LOC_430	פואמארין		1996	Arno River (Italy)	1.0	1	auto_reclassify
H-LOC_431	לאדזיאן		76432	Lędziny (Katowice, Poland)	1.0	1	auto_reclassify
H-LOC_502	טריקאוו		82891	Túrkeve (Hungary)	1.0	1	auto_reclassify
H-LOC_571	זמיגראד		17046	Żmigród (Poland)	1.0	1	auto_reclassify
H-LOC_597	יאמפאלע		13851	I︠A︡mpilʹ (Khmelʹnyt︠s︡ʹka oblastʹ, Ukraine)	0.667	1	auto_reclassify
ED::קאלביש	קאלביש		12127	Kalabishah (Egypt)	1.0	1	auto_reclassify
ED::רמות	רמות		26781	Ramot Neibourhood (Beersheba, Israel)	0.95	1	auto_reclassify
ED::ק׳ מעזיבוז	ק׳ מעזיבוז		17325	Medz︠h︡ybiz︠h︡ (Ukraine)	0.714	1	auto_reclassify
ED::לעטיטשוב	לעטיטשוב		18260	Letychiv (Ukraine)	0.95	1	auto_reclassify
ED::ק' הארידענקא	ק' הארידענקא		332	Horodenka (Ukraine)	0.75	1	auto_reclassify
ED::מטשערנאביל	מטשערנאביל		15239	Chornobylʹ (Ukraine)	0.875	1	auto_reclassify
ED::פעטרקוב	פעטרקוב		250	Piotrkow Trybunalski (Poland)	0.95	1	auto_reclassify
ED::כנען	כנען		86985	Canaan (Conn.)	1.0	1	auto_reclassify
ED::חורב	חורב		19201	Kharrūb (Lebanon)	1.0	1	auto_reclassify
ED::מאגלניצע	מאגלניצע		18711	Mogielnica (Warsaw, Poland)	1.0	1	auto_reclassify
ED::רחיים	רחיים		76260	Rakhme (West Bank)	1.0	1	auto_reclassify
ED::פאסאליס	פאסאליס		2139	Phaselis (Extinct city)	1.0	1	auto_reclassify
ED::עמק עכור	עמק עכור		77490	Achor Valley (West Bank)	1.0	1	auto_reclassify
ED::ארבארי	ארבארי		6349	Örebro (Sweden)	1.0	1	auto_reclassify
ED::הרדענקע	הרדענקע		332	Horodenka (Ukraine)	1.0	1	auto_reclassify
ED::לאדיזין	לאדיזין		23709	Ladyzhin (Ukraine)	0.95	1	auto_reclassify
ED::הראדינקי	הראדינקי		332	Horodenka (Ukraine)	1.0	1	auto_reclassify
ED::זאלקוי	זאלקוי		1703	Z︠H︡ovkva (Ukraine)	0.95	1	auto_reclassify
ED::האראדענקי	האראדענקי		332	Horodenka (Ukraine)	1.0	1	auto_reclassify
