local_id	name_heb	name_rom	wikidata_qid	lat	lon	occurrences	n_editions	editions	context	kind
ED::מעזריטש	מעזריטש					151	13	Adat-Zadikim; Derech-Haemuna; Khal-Hasidim; Maasiot-veSihot-Zadikim; Maim-Rabim; Peulat-Hatzadikim; Shemen-Hatov; Shivhei-Habesht; Shivhei-Harav; Shlosha-edrei-zon; Sipurei-Zadikim; maase-zadikim; shivheiZadikim	"…חי' הרב הקדוש הגאון בו״ק מוה' מנחם מענדיל נ""י מוויטעפסק בעהמ""ח ספר פרי הארץ הי' לומד אצל הרב הק' המגיד הגדול ממעזריטש ז""ל מנערותו אשר הי' בן בו עשרה שנים או אחד עשר. והפליא מאוד בלימודו הנגלה וחיבב אותו הה""מ מאוד. פעם אחת ביום … ⟦SEP⟧ מעשה נוראה מאדונינו האלקי רשכב""ה הרב המגיד הגדול ממעזריטש איך המשיך אליו הדאקטער גארדע עד שנעשה צדיק גדול זכותם יגן עלינו אמן : איש אחד משועי ואצילי וילנא הבירה עבר דר… ⟦SEP⟧ עוד שמעתי מאבא מארי מעשה שהיה הרב הגדול האלקי ר׳ אהרן מקארלין קודם הפסח אצל הרב המגיד ה""ג במעזריטש ורצה לנסוע לביתו על חג הפסח וילך לקבל רשות פרידת שלום מרבו לנסוע לביתו ונתן בזו הרה״מ רשות. ואחרי אשר יצא הרר… ⟦SEP⟧ …רד כל ההר מאד אך לא היה ניכר ובמים היה ניכר מאד. גם שמעתי מהמ״מ מ׳ אליהו ז""ל כשבא פעם ראשון להמגיד הגדול דק""ק מעזריטש סיפר לו זו המעשה ואמר פ״א בי״ט ואין יודע אם יום א׳ של פסח או יום ש״ע הי׳ והצרכתי לברך גשם או טל והיה הבעש""ט מ… ⟦SEP⟧ שמעתי מהרב דקהלתינו שהיה הר׳ ליבש דק""ק מעזריטש אצל הבעש״ט בימים נוראים וחלה קודם ר״ה ועסק הבעש״ט ברפואתו כל הלילה של ער""ה וגם הלילה של ר""ה ולא ראה סימן מיתה…"	edition_only
ED::ישראל	ישראל					147	15	Buzina_Denehora; Derech-Haemuna; Hitgalut-HaZadikim; Likutim-Hadashim; Maasiot-veSihot-Zadikim; MaasiyotUmaamarimYekarim; MaasyiotMzadikeiYesodeiOlam; Maim-Rabim; Peulat-Hatzadikim; Sefer-Moraim-Gdolim; Seva-Ratzon; Shemen-Hatov; Tiferet-Hayyim; Toldot-Haniflaot; shivheiZadikim	"פ׳ ויקהל ויקהל משה את כל עדת בני ישראל ויאמר עליהם אלה הדברים אשר צוה ד׳ כי יש ס׳ רבוא אותיות לתורה : ויש ס' רבוא נפשות ישראל. וכל אחד מישראל נפשו א… ⟦SEP⟧ … לא כתיב מי לא יאהבך מלך וכו׳ ואמר כי שורש אהבה נמשך מהשי״ת. עד״ה ואהבת עולם אהבתיך. נמצא מחמת שהשי""ת אוהב את ישראל. נקשרה אהבה בלבבם ובעבור זה המה אוהבים להשי""ת. וכמאמר הכתוב. כמים הפנים אל פנים וכו׳ ואמר הרב הק׳ בזה הלשון ה… ⟦SEP⟧ איתא במדרש כשהחכם יושב ודורש הקב״ה מוחל לעונותיהם של ישראל. כי המוכיחים שאינם הגונים נעשו מעונותיהם של ישראל. מכל עבירה נעשה מוכיח אחד עד״ה תיסרך דעתך. אבל בשעה שהחכם י… ⟦SEP⟧ …גוי ואולמי בעד שאדרוש יפה זאל איך בעסיר שעום ווערין. ולא אמר כלל. ובשלש סעודות אמר לו הרב ר״ב שיאמר ד״ת לכבוד ישראל ולכבוד השכינה כי כל בי עשרה שכינה שריא. ובפרט שאנו ג״כ יושבים כאן במסובה אחת. אז פתח הרב מים קדושים ואמר כל ב… ⟦SEP⟧ ישראל בע״ש טוב"	edition_only
H-LOC_209	יסטרעליסק	Novi Strilyshcha	Q2602975	49.51666667	24.4	52	7	Derech-Haemuna; Hitgalut-HaZadikim; Khal-Hasidim; Maasiot-veSihot-Zadikim; Mifalot-HaZadikim; Tiferet-Hayyim; maase-zadikim	"א) הרה״ק ר״ר אלימלך ב) בנו הרה״ק ר׳ אלעזר ג) הרה״ק ר׳ אורי מסטרעליסק ד) הרה״ק ר׳ אלימלך מפשערווארסק ה) הרה״ק ר״ר ברוך ממעזבוז י) הגאון רבי ר׳ העשיל מקראקא ז) הרה״ק ר״ר העניך מאלכ… ⟦SEP⟧ התגלות הרה״ק מרן הרבי ר׳ אורי מסטרעליסק זצוקללה""ה ⟦SEP⟧ …המשפיע פרנסה רק הש""י יפרנס אותנו וטוב לחסות בהשי""ת מבטוח בנדיבים. ותיכף שכר לו עגלה. ועקר דירתו מלעמבורג לעיר סטרעליסק אשר הוא רחוק כששה פרסאות מלעמבורג ששום אדם משם לא הכירו. ושם בזמן קצר נתגלה קדושתו. והופיע אותו בתוך בני ישרא… ⟦SEP⟧ אחד קדוש מדבר מדוע מרגלא בפי כל לקרות הרב הקדוש הנ""ל מסטרעליסק בשם שרף משום מעשה שהיה בכפר סמוך לסטרעליסק איש זקן אחד שמו אייזיק ז""ל. והיה דרכו בקודש לנסוע בכל ר""ה להרב הקד… ⟦SEP⟧ ואמר לו הלא סמוך לסטרעליסק אתה כאשר תבוא לביתך תפרוס בשלום הרה״ק ר אורי עבורי. ותאמר אליו אשר אני יודע כי שני פנים יש לו. ונזדעזע החסיד …"	authority
ED::נעמרוב	נעמרוב					48	6	Derech-Haemuna; Khal-Hasidim; Kokhvei-Or; Shivhei-Habesht; SipureiAnsheiShem; Smichat-Moshe	"…תן לו מקום בק""ק שדה לבן ואח״כ היה שוחט בק""ק ברדטשיב ולעת זקנתו נתן הבעש""ט אגרת ליד חמי להרב הגאון הקדוש אבד""ק נעמרוב בעל המחבר ספר תולדות יעקב יוסף ונעשה שו""ב בק""ק נעמרוב ושמעתי כמה פעמים מהרב הנ""ל זצלל""ה שאמר לחמי בדרך מוסר ב… ⟦SEP⟧ שמעתי מר׳ יואל מ""מ דק""ק נעמרוב ותמיד היה אצל הרב דק""ק פולנאי בק""ק ראשקיב ובק' שאריגראד ובק""ק נעמרוב שמעתי ממנו שפ״א שבת הבעש״ט בשאריגראד ובמ… ⟦SEP⟧ שמעתי מהר׳ יואל שהיה מ""מ בק""ק נעמרוב פ״א נסע הבעש״ט מן הדרך שמע כרוז א׳ משלשה דברים אלו אני מטיל עליך או שיפל עליך היידא מאקין ויגזלו ממך את ממונך… ⟦SEP⟧ … יעקב אב""ד דק""ק סמילא ששמע מאביו רב מאיר חריף ז""ל פ""א בא הבעש""ט להרב דק""ק פולנאי ואני מסופק אם היה המעשה בק""ק נעמרוב או בק""ק שאריגראד ובא כמה ימים קודם השבת ולא אכל בכל אלה הימים והרב הנ""ל הפציר אותו מאוד לאכול והשיב יפטיר הרב… ⟦SEP⟧ …בלא טו״ת ולא ראיתי את המוכיח אם התפלל שם וכדומה לי שהלך לעיר להתפלל ולשנה אחרת מת רב נחמן ז""ל בחדש תמוז והי׳ בנעמרוב ג""כ בחודש זה ונלוו׳ ר׳ מענדלי פרימסלאנער וקבלו ממנו ותמה מאוד על חכמת הבעש״ט ושמעתי שמת ר׳ נחמן בשב""ק וישב רב…"	edition_only
ED::מאגלניצא	מאגלניצא					38	3	Hitgalut-HaZadikim; Tiferet-Hayyim; Toldot-Haniflaot	"סיפר הה״ג החסיד ר׳ יעקב יצחק ז""ל האבד״ק סאבין בן הרה״ק המפורסם משה סטעניצר מזעליחאוו זצוק""ל אשר פעם אחת היה במאגלניצא בחג הסוכות. והיה דרך האנשים אשר שמותם כשמות האושפיזין להעמיד יין ביום אושפיזו. והוא לא העמיד יין באושפיזא דיצ… ⟦SEP⟧ …לם ואיש מצליח מאוד. ואיש העשיר ההוא לא רצה לציית הד״ת אשר היה לו עם הנ""ל והיה נוסע כמה פעמים למרן הקדוש הנ""ל ממאגלניצא בקובלנא עליו. והיה מרן ז""ל אומר לו כמה פעמים מה אוכל לעשות אם הוא אין בא אצלי. פעם אחת בא העשיר הנ""ל אל מרן ז… ⟦SEP⟧ עוד סיפר הרב הנ""ל פעם אחת היה מתאחר מרן ז""ל הנ""ל ממאגלניצא קצת מהעת התפלה בבוקר. ודרכו בקודש היה כאשר הגיע זייגער עשירי או קצת יותר ולא היה יכול עוד להתפלל היה שולח לבי… ⟦SEP⟧ והגדתם לאבי את כל כבודי במצרים. פ""א הי׳ אדמו״ר [הה""ק ממאגלניצא] וצללה""ה זי״ע ועכ״י בעיר אחת ושאל אותו צדיק אחד שיתן לו עצה כאשר הי' בעיר אחת וחלקו לו כבוד גדול מאד ולא הי' … ⟦SEP⟧ … לאלהי אברהם ומתרץ לפי שחייב אדם בכבוד אביו לפיכך תלה בו ואמר אביו של יצחק (ס׳ תולדות הנפלאות בשם רבינו הה״ק ממאגלניצא זצולה""ה) :"	edition_only
H-LOC_398	זלאטשוב	Złoczew	Q249059	51.4171963	18.6035594	32	5	Derech-Haemuna; Hitgalut-HaZadikim; Maim-Rabim; Shemen-Hatov; Shivhei-Habesht	"מעשה נוראה ונפלאה מאוד מרבינו הקדוש איש אלקים רבי יחיאל מיכל צוק""ל מזלאטשוב ⟦SEP⟧ …ערום בלי שום מצוה כמוהם אך כל זה גרם להם על אשר פערו פיהם להלשין ולחלוק אל הרה״ח איש אלהים רבי ר' מיכלי זצ""ל מזלאטשוב. אח״כ קרא הרבי ר' אלימלך לשני אנשים ההם. ואמר להם קרבו אלי ושבו פה וישבו. עתה הגידו לי מה המעשה הזו אשר עשיתם… ⟦SEP⟧ ענו ואמרו אנחנו איתן מושבנו בעיר זלאטשוב. היינו נגידי ארץ עתירי נכסין. והיה לנו בית חומה גדולה ומפוארה. דירות רחבים ומהודרים לשנינו כיס אחד היה לכולנו… ⟦SEP⟧ שני יהודים מזלאטשוב היו שם אז ביום המשתה אשר סבבו כפרים כדרכם לקנות אחר גמר המשתה עורות ארנבים ושועלים אשר אכלו השרים מצידם. וג״כ… ⟦SEP⟧ …עתי מאיש אמת ששמע מהרה״ק ר׳ ישראל זי״ע מרוזין שסיפר מה ששמע מפי הרה״ק ר׳ יצחק מראדוויל בן הרה״ק ר׳ מיכל זצ""ל מזלאטשוב איך שפ""א בהיות הרה״צ ר״י מראדוויל בחור קודם הנשואין רצטרךהצטרך אביו הר״ר מיכלי לנסוע לדרך ובתוך כך באה השמועה…"	authority
H-LOC_202	רוסיא	Russia	Q34266			30	11	Hitgalut-HaZadikim; Khal-Hasidim; Maasim-Tovim; Maasiot-veSihot-Zadikim; Mifalot-HaZadikim; Peulat-Hatzadikim; Sefer-Moraim-Gdolim; Shemen-Hatov; Shivhei-Harav; Smichat-Moshe; Toldot-Haniflaot	"…רב מהריק""ו הרב ראשון לציון שנלב״ע שנה שעברה בנאמון יע״א. והוא כי בהיותו שדר״ח בערי אשכנז סיפר לי חכם אחד זקן ברוסיא מה שאירע לו עם תלמיד שאינו הגין שאחר שלמד לפניו כמה דפי מסכתות בע״פ יצא לתרבות רעה. ונעשה לסטים מזוין מלסטם א… ⟦SEP⟧ …וא הרב לעמוד בחצר המלך לאיזה דבר כי לא רצה ליקח אותו במשמר (כי הקייסר פאוויל הי׳ אוהב אמת מאוד ורצה להעמיד כל מדינת רוסיא על מרכז האמת והי׳ רגיל להתחפש ולהיות בכל מקומות המשפט ובכל שוקי העיר לראות הנהגות העם) וע""כ אמר כי אין מן הצו… ⟦SEP⟧ … לעמוד בחצר המלך לאיזה דבר כי לא רצה ליקח אותו במשמר (כי הקייסר פאוויל הי׳ אוהב אמת מאוד ורצה להעמיד כל מדינת רוסיא על מרכז האמת והי׳ רגיל להתחפש ולהיות בכל מקומות המשפט ובכל שוקי העיר לראות הנהגות העם) וע""כ אמר כי אין מן הצו… ⟦SEP⟧ …ש זי״ע ויהי בשנת תקע""א בעת אשר היה מלחמת הצרפתים עם הרוסים התפלל רבינו בשלום המלכות כי לא אבה שיכנסו הצרפתים לרוסיא כי אמר אם יהי׳ מדינ׳ רוסיא חחת ממשלת הצרפתים תתרבה האפיקורסות וע״כ נחחזק בתפילתו נגד הצרפתים והרה״ק ר׳ שלמה מ… ⟦SEP⟧ …חכמתו בין האומות וע״כ חקר אחריו והרב היה דר אז בלאדי וע״כ ברח הרח הרב חרב ביום השבת עם כל בני ביתו עד קראשנע בראסייע ושם עמדו חיל הרוסים מחנה נורא ושר המנהיג את החיל (קאמידאנט) הכיר את הרב ונתן לו הרב עצה שימהר לברוח מכאן עם ח…"	authority
ED::אושפצין	אושפצין					29	2	Seva-Ratzon; Shlosha-edrei-zon	"…יו. וכך נהג כל ימיו אם קנה לפעמים איזה עורות עגלים הביאם אלי וביקש ממני לעשות מהם דבר שבקדושה ואף כשהייתי דר באושפצין והיה רחוק איזה פרסאות רץ ברגליו להביאם לי לדבר מצוה וביקש אותי לכתוב לו עליהם תו״מ כללו של דבר הכל עשה לש""ש ו… ⟦SEP⟧ …מו שנה מקדם נפל למשכב לא היה יכול לישב על השלחן אפי' בשבת רק לפעמים ודרכו של הרב הק' ר' בעריש כשהיה אמר תורה באושפצין בסעודת שבת היה כוונתו להמשיך בני חיי ומזוכי על ב""י וכאשר נחלה רבו אז פסק לומר תורה עד״ז רק אמר תורה להמשיך כל… ⟦SEP⟧ …י כבר צפיתי לאיש כמוהו נאמן רוח מכסה דבר אני רוצה לשלוח את מע' בשליחות ולא יגלה כי אני שלחתיו רק יאמר כי היה באושפצין בזה ר""ה איש צדיק וצוה עלי כדבר הזה : ⟦SEP⟧ נגזר עליו בזה ר""ה ענין סכנת נפשות לכן ילך אליו ויאמר לו בשם גדול הדור אשר היה בר""ה זה באושפצין והוא שלח את מע' אליו לאמר לו כי בכל יום ויום אחר רחיצת שחרית כשיקים מן מטתו יפריש מעות לנדבה לפ""נ כפי השגת יד… ⟦SEP⟧ …ל ולא לאבד את מעותיך שם ועתה יודע מה לעשות אז הראיתי לו את ידי ואספר לו כל המעש׳ הנ""ל ועתה איעצך שתסע אל הרב לאושפצין ויתן לך עצה טובה השיב לו אני מאמין שיש בפולין צדיקים אשר יכולים לפעול אמנם איך אלך וישמעו אנשי עירי ואהיה כמצ…"	edition_only
H-LOC_198		Volia	Q2068366	51.379444	24.833333	25	3	Khal-Hasidim; Sipurei-Zadikim; maase-zadikim	"ויהי אחרי הדברים האלה נתוועד הסבא הזה עם הרבנים הקדושים המפורסמים הצדיקים ר' מרדכי מנישחיז ועם הש״ץ מזאסלאב אשר גם המה הלכו אז בגולה ונתועדו כולם לילך יחד בגולה ועשו מה שעשו בצוותא. פעם אחת נזדמנו כול… ⟦SEP⟧ … תלמידו של הרה""ק מוהר""ר שלמה מקארלין ז""ל וכאשר מת רבו הקדוש בקארלין אמר קודם מותו כי תלמידיו ילכו להרב הקדוש מנישחיז ז""ל. ויהי כאשר בא הרה""ק מסטרעליסק לקארלין וישמע כי מת רבו הקדוש ואחרי קבלו תנחומין שאל החברים הקדושים מה צוה … ⟦SEP⟧ …רב וחיבב אותו ושלחו לדרכו : ויהי אחר הדברים האלה נתוועד הסבא הזה עם הרבנים הקדושים המפורסמים הצדיקים ר׳ מרכי מנישחיז ועם הש""ץ מזאסלאב אשר גם המה הלכו אז בגולה ונתועדו כולם לילך יחד בגולה ועשו מה שעשו בצוותא. פעם אחת נזדמנו כול… ⟦SEP⟧ …הר""ר שלמה מקארלין ז""ל וכאשר מת רבו הקדוש בקארלין אמר קודם מותו כי תלמידיומעשה צדיקים תלמידיו ילכו להרב הקדוש מנישחיז ז""ל. ויהי כאשר בא הרה״ק מסטרעליסק לקארלין וישמע כי מת רבו הקדוש ואחרי קבלו תנחומין שאל החברים הקדושים מה צוה …"	authority
H-LOC_628	שטראשעלע		Q7602173			23	3	Khal-Hasidim; Shivhei-Harav; Sipurei-Zadikim	"…ם י״ט וכ""ט בו ועתה נחזור לראשו לספר מר""ח כסליו ויו""ד בו אשר בשני הימים האלו נפדו הרבנים הקדושים ר׳ אהרן הלוי משטראשעלע תלמיד מובהק של הרב הקדוש הנ""ל ובנו ר' דוב בער מליבאוויטש אשר מסר אותם יליד וויטעפסק והיה לפנים משועי ואצילי ה… ⟦SEP⟧ … כי הקור ילחצום ויכתת׳ עד כלותם : ראיתי אני הכותב בהמכתב ששלח בן הרב הקדוש מוה׳ דוב בער אל הרב הקדוש ר׳ אהרן משטראשעלע כי בעת אשר נכנסו צרפתים למאסקווע היה הרב אז בראסייע בכפר לא רחוק ממאסקווע החיל היו שומרים אותו וכן היה כי במק… ⟦SEP⟧ …רב ר׳ משה חתן ר׳ זאב ציכעס ז""ל והשני הרב ר׳ ישראל יוסף ז""ל בעשי״ת להשתטח על ציון רבם אדמו״ר הקדיש מוהר״א ז""ל לשטראשעלע ומדי עברם דרך עיר קאפוסט אשר היא לא רחוק׳ משטראשעלע עמדו עם העגלה בתוך הרחוב לאיז' דבר הנצרך להם אז. וכעמד׳ ב… ⟦SEP⟧ … מצערי ונשחת עלי תארי ויצו עלי לנסוע לשטראשעלע כי הכפר לא היה רחוקה כ""א עשרים וויארסט מהעיר ונסעתי לפנות ערב לשטראשלע ונסעתי כל הלילה וישבתי בהעגלה ולא היה לי שום דמיון אז נגמרה בדעתי סגולה סגילה עושה ומועילה. לזה לנסוע אנא ואנ… ⟦SEP⟧ …ש כפרי היה דר בניאמיל והוא ר' משה הלוי אשר היה דור שמיני להשל""ה הקדוש והר״מ הוא אבי הקדוש האלקי ר׳ אהרן הלוי משטראשעלע אשר נודע שם תפארתו מחיבוריו הקדושים שער היחוד ושערי עבודה ועבודת הלוי זצוק""ל. והשני היה ר׳ אליקים מעיר קאדזען…"	authority
