local_id	kind	name_heb	name_rom	wikidata_qid	occurrences	n_editions	match_status	grade	confidence	sound_match	flags	kima_id	kima_name_rom	kima_name_heb	distance_km	candidates	kima_url	context_sample	decision	chosen_kima_id	reviewer_notes
H-LOC_209	authority	יסטרעליסק	Novi Strilyshcha	Q2602975	52	7	no_match	C_review	0.0									"א) הרה״ק ר״ר אלימלך ב) בנו הרה״ק ר׳ אלעזר ג) הרה״ק ר׳ אורי מסטרעליסק ד) הרה״ק ר׳ אלימלך מפשערווארסק ה) הרה״ק ר״ר ברוך ממעזבוז י) הגאון רבי ר׳ העשיל מקראקא ז) הרה״ק ר״ר העניך מאלכ… ⟦SEP⟧ התגלות הרה״ק מרן הרבי ר׳ אורי מסטרעליסק זצוקללה""ה ⟦SEP⟧ …המשפיע פרנסה רק הש""י יפרנס אותנו וטוב לחסות בהשי""ת מבטוח "			
ED::נעמרוב	edition_only	נעמרוב			48	6	no_match	C_review	0.0									"…תן לו מקום בק""ק שדה לבן ואח״כ היה שוחט בק""ק ברדטשיב ולעת זקנתו נתן הבעש""ט אגרת ליד חמי להרב הגאון הקדוש אבד""ק נעמרוב בעל המחבר ספר תולדות יעקב יוסף ונעשה שו""ב בק""ק נעמרוב ושמעתי כמה פעמים מהרב הנ""ל זצלל""ה שאמר לחמי בדרך מוסר ב… ⟦SEP⟧ שמעתי מר׳ יואל מ""מ דק""ק נעמרוב ותמיד היה אצל הרב דק""ק פולנאי בק""ק"			
ED::מאגלניצא	edition_only	מאגלניצא			38	3	fuzzy	C_review	1.0							18711		"סיפר הה״ג החסיד ר׳ יעקב יצחק ז""ל האבד״ק סאבין בן הרה״ק המפורסם משה סטעניצר מזעליחאוו זצוק""ל אשר פעם אחת היה במאגלניצא בחג הסוכות. והיה דרך האנשים אשר שמותם כשמות האושפיזין להעמיד יין ביום אושפיזו. והוא לא העמיד יין באושפיזא דיצ… ⟦SEP⟧ …לם ואיש מצליח מאוד. ואיש העשיר ההוא לא רצה לציית הד״ת אשר היה לו"			
H-LOC_398	authority	זלאטשוב	Złoczew	Q249059	32	5	name_exact	A_autolink	0.99	True		961	Złoczew (Poland)	זלאטשוב (פולין)	0.4		https://data.geo-kima.org/Places/Details/961	"מעשה נוראה ונפלאה מאוד מרבינו הקדוש איש אלקים רבי יחיאל מיכל צוק""ל מזלאטשוב ⟦SEP⟧ …ערום בלי שום מצוה כמוהם אך כל זה גרם להם על אשר פערו פיהם להלשין ולחלוק אל הרה״ח איש אלהים רבי ר' מיכלי זצ""ל מזלאטשוב. אח״כ קרא הרבי ר' אלימלך לשני אנשים ההם. ואמר להם קרבו אלי ושבו פה וישבו. עתה הגידו לי מה המעשה הזו"			
ED::אושפצין	edition_only	אושפצין			29	2	no_match	C_review	0.0									"…יו. וכך נהג כל ימיו אם קנה לפעמים איזה עורות עגלים הביאם אלי וביקש ממני לעשות מהם דבר שבקדושה ואף כשהייתי דר באושפצין והיה רחוק איזה פרסאות רץ ברגליו להביאם לי לדבר מצוה וביקש אותי לכתוב לו עליהם תו״מ כללו של דבר הכל עשה לש""ש ו… ⟦SEP⟧ …מו שנה מקדם נפל למשכב לא היה יכול לישב על השלחן אפי' בשבת רק לפ"			
H-LOC_198	authority		Volia	Q2068366	25	3	no_match	C_review	0.0									"ויהי אחרי הדברים האלה נתוועד הסבא הזה עם הרבנים הקדושים המפורסמים הצדיקים ר' מרדכי מנישחיז ועם הש״ץ מזאסלאב אשר גם המה הלכו אז בגולה ונתועדו כולם לילך יחד בגולה ועשו מה שעשו בצוותא. פעם אחת נזדמנו כול… ⟦SEP⟧ … תלמידו של הרה""ק מוהר""ר שלמה מקארלין ז""ל וכאשר מת רבו הקדוש בקארלין אמר קודם מותו כי תלמידי"			
H-LOC_628	authority	שטראשעלע		Q7602173	23	3	no_match	C_review	0.0									"…ם י״ט וכ""ט בו ועתה נחזור לראשו לספר מר""ח כסליו ויו""ד בו אשר בשני הימים האלו נפדו הרבנים הקדושים ר׳ אהרן הלוי משטראשעלע תלמיד מובהק של הרב הקדוש הנ""ל ובנו ר' דוב בער מליבאוויטש אשר מסר אותם יליד וויטעפסק והיה לפנים משועי ואצילי ה… ⟦SEP⟧ … כי הקור ילחצום ויכתת׳ עד כלותם : ראיתי אני הכותב בהמכתב ששלח "			
ED::ק	edition_only	ק			23	7	no_match	C_review	0.0									"פ""א בא מחותנו הרב הק'. ר׳ שלמה קארלינר ולק' טאלטשין והלך הרב ר שלמה מן האכסניא שלו אלי הרב הק׳ ר׳ ברוך. והלכו עמו עולם גדול מאנשי … ⟦SEP⟧ פעם אחת בא הרב הק' ר' ברוך זצלה""ה. קודם חג השבועות. לק' מעזעביז ולא הי' אצל אחיו הרב הק' מסדילקוב ברק בבוא העירה, נסע על קבר הב… ⟦SEP⟧ היוצר יחד לבם המבין אל כל מ"			
H-LOC_402	authority		Zolochiv	Q623594	22	9	name_exact	A_autolink	0.99	True		1701	Zolochiv (Lʹvivsʹka oblastʹ, Ukraine)	זולוצ'יב (מחוז לביב, אוקראינה)	0.2		https://data.geo-kima.org/Places/Details/1701	"ומעשה כזו היתה ג״כ בדור שלפנינו אצל הצדיק הגדול ר' מיכל מזלאטשוב אשר הוכיח איש א׳ עבור מדת הבטחון והאיש הנ""ל התנצל לפניו כי הוא בוטח בד׳ ית""ש ואמר לו הרב הנ""ל אם תרצה ללמוד מ… ⟦SEP⟧ שמעתי כשהי׳ הרב הקדוש האלקי ר׳ יחיאל מיכל מזלאטשוב אצל הבעש״ט פ״א ביום הששי בבוקר קודם שחרית אמר לו הבעש""ט לנסוע לביתו"			
ED::גליל	edition_only	גליל			17	5	name_exact	A_autolink	0.95	True		1475	Galilee (Israel)	גליל (ישראל)		1475	https://data.geo-kima.org/Places/Details/1475	"… אדמו״ר הרה״צ הגדול גאון מפורסם פאר הדור צנא מלא ספרא מו״ה ברוך צבי הירש ראזענבלום זצלה""ה אב""ד דק""ק פעטרקוב והגליל יע""א. ⟦SEP⟧ … לו היכן הוא העיר הזאת כי לא שמע ממנה מעולם ולא ידע מקומה איה וביום ההוא קבל מכתב מהבי דואר שאלה מעיר צשעכיוו גליל לובלין. איך ששם כותבין בגיטי נשים מתא ווינאווי דמתקריא צ"			
