tag	detectability	n_tagged	n_editions_tagged	n_candidates	n_confirmed_missed	n_fp_candidates	control_n	control_yes	recall_flag	your_decision	notes
characters-and-roles:the_family_of_the_tsaddik	semantic	78	8	60	7	0	10	1	0.10		
characters-and-roles:hidden_righteous	semantic	32	7	60	21	0	10	2	0.20		
characters-and-roles:demons	semantic	31	6	60	5	0	10	1	0.10		
characters-and-roles:angels	semantic	25	4	60	4	0	10	0	0.00		
characters-and-roles:ritual_slaughterer	semantic	17	5	46	6	0	10	0	0.00		
characters-and-roles:elijah_the_prophet	semantic	14	5	60	2	0	10	0	0.00		
characters-and-roles:preacher	semantic	13	4	60	21	0	10	0	0.00		
characters-and-roles:angel_of_death	semantic	7	3	0	0	0	10	0	0.00		
characters-and-roles:agunah	semantic	7	6	4	0	0	10	0	0.00		
characters-and-roles:messiah	semantic	6	3	3	0	0	10	0	0.00		
characters-and-roles:magician	semantic	5	3	1	1	0	10	0	0.00		
characters-and-roles:sabbatai_zevi	semantic	4	2	0	0	0	10	0	0.00		
characters-and-roles:witch	semantic	3	2	0	0	0	10	0	0.00		
characters-and-roles:baal_shem	semantic	3	3	0	0	0	10	4	0.40		
characters-and-roles:scribe	semantic	3	1	1	1	0	10	0	0.00		
characters-and-roles:tavern_keeper	semantic	2	1	0	0	0	10	1	0.10		
characters-and-roles:melamed	semantic	1	1	0	0	0	10	0	0.00		
