tag	detectability	n_tagged	n_editions_tagged	n_candidates	n_confirmed_missed	n_fp_candidates	control_n	control_yes	recall_flag	your_decision	notes
folkloristics:story_type_rapprochement	semantic	37	6	60	18	0	10	2	0.20		
folkloristics:story_type_prognostication	semantic	35	5	60	31	0	10	1	0.10		
folkloristics:story_type_virtues	semantic	20	4	60	33	0	10	4	0.40		
folkloristics:story_type_protection	semantic	18	5	55	22	0	10	5	0.50		
folkloristics:story_type_death_of_the_tsaddik	semantic	18	5	60	5	0	10	0	0.00		
folkloristics:story_type_advent	semantic	13	5	30	19	0	10	4	0.40		
folkloristics:story_type_revelation	semantic	6	3	0	0	0	10	4	0.40		
folkloristics:story_type_birth_of_the_tsaddik	semantic	6	3	4	0	0	10	0	0.00		
folkloristics:story_type_parable	semantic	2	2	0	0	0	10	1	0.10		
folkloristics:story_type_inauguration	semantic	2	2	0	0	0	10	1	0.10		
folkloristics:story_type_ joke	semantic	1	1	0	0	0	10	0	0.00		
