tag	detectability	n_tagged	n_editions_tagged	n_candidates	n_confirmed_missed	n_fp_candidates	control_n	control_yes	recall_flag	your_decision	notes
practice:study	semantic	105	9	60	18	0	10	1	0.10		
practice:protection	semantic	85	9	60	27	0	10	2	0.20		
practice:travel_to_the_tsaddik	semantic	70	9	60	23	0	10	5	0.50		
practice:sermon	semantic	66	8	60	10	0	10	0	0.00		
practice:healing	semantic	63	7	60	8	0	10	0	0.00		
practice:storytelling	semantic	53	8	60	16	0	10	0	0.00		
practice:tvilah	lexical-strong	41	6	60	15	0	10	0	0.00		
practice:reception_of_hasidim	semantic	34	8	60	23	0	10	0	0.00		
practice:lifesaving	semantic	27	6	60	15	0	10	2	0.20		
practice:meditation	semantic	27	7	60	11	0	10	0	0.00		
practice:asceticism	semantic	26	5	60	11	0	10	1	0.10		
practice:fasting	lexical-strong	24	7	60	7	0	10	0	0.00		
practice:devekut	semantic	23	6	60	18	0	10	0	0.00		
practice:healing_of_the_soul	semantic	22	6	60	19	0	10	2	0.20		
practice:smoking	lexical-strong	20	5	49	8	0	10	1	0.10		
practice:solitude	semantic	19	5	53	3	0	10	1	0.10		
practice:dance	lexical-strong	19	7	60	0	0	10	0	0.00		
practice:drinking_alcohol	lexical-strong	14	6	60	21	0	10	1	0.10		
practice:travel_to_other_tsaddik	semantic	13	4	13	3	0	10	1	0.10		
practice:use_of_holy_names	lexical-strong	13	4	55	19	0	10	0	0.00		
practice:redemption_of_captives	lexical-strong	11	4	22	3	0	10	0	0.00		
practice:sexual_abstinence	semantic	10	2	1	1	0	10	0	0.00		
practice:pilgrimage_to_the_graves_of_tsaddikim	lexical-strong	10	5	32	2	0	10	0	0.00		
practice:coping_with_alien_thoughts	semantic	10	3	2	0	0	10	0	0.00		
practice:the_travels_of_the_tsaddik	semantic	9	3	34	7	0	10	4	0.40		
practice:business_advice	semantic	9	4	25	1	0	10	0	0.00		
practice:releasing_agunot	lexical-strong	7	4	16	2	0	10	0	0.00		
practice:pidyon_nefesh	lexical-strong	7	4	54	6	0	10	0	0.00		
practice:writing_amulets	lexical-strong	6	3	2	2	0	10	0	0.00		
practice:failure	interpretive	5	2	0	0	0	10	3	0.30		
practice:torat_ha_tsaddik	interpretive	5	4	4	2	0	10	1	0.10		
practice:joke	semantic	4	2	0	0	0	10	0	0.00		
practice:music	lexical-strong	4	2	60	19	0	10	0	0.00		
practice:worship_through_corporeality	interpretive	2	2	0	0	0	10	4	0.40		
practice:conversing_with_angels	semantic	1	1	0	0	0	10	1	0.10		
practice:asceticism_fasting	lexical-strong	1	1	30	23	0	10	0	0.00		
practice:spiritual	semantic	1	1	0	0	0	10	9	0.90		
practice:magic:make_it_rain	semantic	1	1	0	0	0	10	1	0.10		
practice:recitation_of_psalms	lexical-strong	1	1	26	23	0	10	0	0.00		
practice:prayer:outside	semantic	1	1	0	0	0	10	0	0.00		
practice:ritual_slaughtering	lexical-strong	1	1	56	16	0	10	0	0.00		
practice:prayer:sigh	semantic	1	1	0	0	0	10	0	0.00		
practice:clothing	semantic	1	1	0	0	0	10	0	0.00		
