full_tag	top_tag	sub_tag	n_stories	n_editions	top_cooccurring	examples
supernatural:perception	supernatural	perception	295	9	social:inter_hasidic_master_disciple_relationship(121); practice:prayer(73); ethics-and-emotions:prohibitions(69); supernatural:prognostication(62); women:minor_character(55)	Adat-Zadikim_0001; Adat-Zadikim_0004; Adat-Zadikim_0006
social:inter_hasidic_master_disciple_relationship	social	inter_hasidic_master_disciple_relationship	213	9	supernatural:perception(121); practice:prayer(62); practice:study(58); practice:travel_to_the_tsaddik(53); social:relations_with_non_hasidim(50)	Adat-Zadikim_0001; Adat-Zadikim_0004; Adat-Zadikim_0008
practice:prayer	practice	prayer	169	9	supernatural:perception(73); social:inter_hasidic_master_disciple_relationship(62); practice:protection(38); women:minor_character(36); social:relations_with_non_jews(33)	Adat-Zadikim_0001; Adat-Zadikim_0007; Adat-Zadikim_0009
supernatural:prognostication	supernatural	prognostication	122	9	supernatural:perception(62); social:inter_hasidic_master_disciple_relationship(37); folkloristics:story_type_prognostication(35); social:relations_with_non_jews(34); practice:prayer(32)	Adat-Zadikim_0001; Adat-Zadikim_0002; Adat-Zadikim_0008
ethics-and-emotions:prohibitions	ethics-and-emotions	prohibitions	119	9	supernatural:perception(69); social:inter_hasidic_master_disciple_relationship(39); ethics-and-emotions:repentance(31); ethics-and-emotions:punishment(31); women:minor_character(30)	Adat-Zadikim_0004; Adat-Zadikim_0009; Adat-Zadikim_0010
practice:study	practice	study	105	9	social:inter_hasidic_master_disciple_relationship(58); supernatural:perception(48); practice:prayer(32); social:relations_with_non_hasidim(30); ethics-and-emotions:prohibitions(27)	Adat-Zadikim_0012; Adat-Zadikim_0018; Adat-Zadikim_0019
women:minor_character	women	minor_character	103	9	supernatural:perception(55); characters-and-roles:the_family_of_the_tsaddik(36); practice:prayer(36); social:inter_hasidic_master_disciple_relationship(32); ethics-and-emotions:prohibitions(30)	Adat-Zadikim_0003; Adat-Zadikim_0006; Adat-Zadikim_0007
social:relations_with_non_jews	social	relations_with_non_jews	101	9	supernatural:perception(50); practice:protection(47); social:relations_with_the_authorities(40); supernatural:prognostication(34); practice:prayer(33)	Adat-Zadikim_0006; Adat-Zadikim_0008; Adat-Zadikim_0014
women:mention_only	women	mention_only	100	9	supernatural:perception(47); supernatural:prognostication(27); social:inter_hasidic_master_disciple_relationship(25); practice:prayer(23); social:relations_with_non_jews(22)	Adat-Zadikim_0002; Adat-Zadikim_0014; Adat-Zadikim_0017
social:relations_with_non_hasidim	social	relations_with_non_hasidim	89	8	social:inter_hasidic_master_disciple_relationship(50); supernatural:perception(45); social:conflict(37); social:retrospective_recognition(34); practice:study(30)	Adat-Zadikim_0017; Khal-Hasidim_0017; Khal-Hasidim_0022
supernatural:communicating_with_the_invisible	supernatural	communicating_with_the_invisible	87	8	social:inter_hasidic_master_disciple_relationship(31); supernatural:perception(30); women:minor_character(28); practice:prayer(28); ethics-and-emotions:prohibitions(23)	Adat-Zadikim_0004; Adat-Zadikim_0008; Adat-Zadikim_0013
practice:protection	practice	protection	85	9	social:relations_with_non_jews(47); supernatural:perception(45); practice:prayer(38); women:minor_character(26); supernatural:communicating_with_the_invisible(23)	Adat-Zadikim_0008; Adat-Zadikim_0024; Khal-Hasidim_0001
supernatural:magic	supernatural	magic	85	9	supernatural:perception(32); practice:prayer(30); women:minor_character(26); ethics-and-emotions:prohibitions(24); characters-and-roles:the_family_of_the_tsaddik(23)	Adat-Zadikim_0003; Adat-Zadikim_0004; Adat-Zadikim_0013
ethics-and-emotions:punishment	ethics-and-emotions	punishment	81	9	supernatural:perception(33); ethics-and-emotions:prohibitions(31); social:inter_hasidic_master_disciple_relationship(25); women:minor_character(22); supernatural:prognostication(21)	Adat-Zadikim_0004; Adat-Zadikim_0009; Adat-Zadikim_0024
social:conflict	social	conflict	81	8	supernatural:perception(37); social:relations_with_non_hasidim(37); social:inter_hasidic_master_disciple_relationship(26); practice:prayer(24); ethics-and-emotions:prohibitions(19)	Adat-Zadikim_0010; Adat-Zadikim_0013; Adat-Zadikim_0022
characters-and-roles:the_family_of_the_tsaddik	characters-and-roles	the_family_of_the_tsaddik	78	8	social:inter_hasidic_master_disciple_relationship(36); women:minor_character(36); practice:prayer(30); practice:study(26); supernatural:perception(24)	Adat-Zadikim_0001; Adat-Zadikim_0003; Adat-Zadikim_0013
ethics-and-emotions:fear	ethics-and-emotions	fear	77	9	supernatural:perception(35); social:inter_hasidic_master_disciple_relationship(32); characters-and-roles:the_family_of_the_tsaddik(19); supernatural:prognostication(19); practice:prayer(19)	Adat-Zadikim_0013; Adat-Zadikim_0021; Adat-Zadikim_0022
