full_tag	top_tag	sub_tag	status	detectability	n_stories	proposed_canonical
supernatural:perception	supernatural	perception	ok		295	
social-relations:inter_hasidic_master_disciple_relationship	social-relations	inter_hasidic_master_disciple_relationship	ok		213	social:inter_hasidic_master_disciple_relationship
halakhah:prayer	halakhah	prayer	ok		169	practice:prayer
women:minor_character	women	minor_character	ok		125	
supernatural:prognostication	supernatural	prognostication	ok		122	
ethics-and-emotions:prohibitions	ethics-and-emotions	prohibitions	ok		118	
practice:study	practice	study	ok		105	
social-relations:with_non_jews	social-relations	with_non_jews	ok		96	social:relations_with_non_jews
social-relations:with_non_hasidim	social-relations	with_non_hasidim	ok		89	social:relations_with_non_hasidim
practice:protection	practice	protection	ok		85	
supernatural:magic	supernatural	magic	ok		85	
ethics-and-emotions:punishment	ethics-and-emotions	punishment	ok		81	
social-relations:conflict	social-relations	conflict	ok		81	social:conflict
characters-and-roles:the_family_of_the_tsaddik	characters-and-roles	the_family_of_the_tsaddik	ok		78	
ethics-and-emotions:fear	ethics-and-emotions	fear	ok		77	
times:death	times	death	ok		73	
ethics-and-emotions:repentance	ethics-and-emotions	repentance	ok		71	
ethics-and-emotions:sadness	ethics-and-emotions	sadness	ok		70	
practice:travel_to_the_tsaddik	practice	travel_to_the_tsaddik	ok		70	
supernatural:conversing_with_the_dead	supernatural	conversing_with_the_dead	ok		70	supernatural:communicating_with_the_invisible
social-relations:retrospective_recognition	social-relations	retrospective_recognition	ok		69	social:retrospective_recognition
knowledge:esoteric	knowledge	esoteric	ok		66	
practice:sermon	practice	sermon	ok		66	
social-relations:inter_hasidic	social-relations	inter_hasidic	ok		65	social:inter_hasidic
practice:healing	practice	healing	ok		63	
social-relations:with_the_authorities	social-relations	with_the_authorities	ok		62	social:relations_with_the_authorities
ethics-and-emotions:anger	ethics-and-emotions	anger	ok		55	
women:major_character	women	major_character	ok		54	
practice:storytelling	practice	storytelling	ok		53	
times:shabbat	times	shabbat	ok		53	
ethics-and-emotions:virtues	ethics-and-emotions	virtues	ok		52	
ethics-and-emotions:charity	ethics-and-emotions	charity	ok		42	
experience:dream	experience	dream	ok		42	
practice:tvilah	practice	tvilah	ok		41	
spaces:heaven	spaces	heaven	ok		39	
times:holidays	times	holidays	ok		39	
folkloristics:story_type_rapprochement	folkloristics	story_type_rapprochement	ok		37	
social-relations:with_non_jews_hostility_against_jews	social-relations	with_non_jews_hostility_against_jews	ok		37	social:relations_with_non_jews
social-relations:marital_relationship	social-relations	marital_relationship	ok		36	social:marital_relationship
experience:revelation	experience	revelation	ok		35	
folkloristics:story_type_prognostication	folkloristics	story_type_prognostication	ok		35	
practice:reception_of_hasidim	practice	reception_of_hasidim	ok		34	
characters-and-roles:tsaddik_wife	characters-and-roles	tsaddik_wife	ok		33	characters-and-roles:the_family_of_the_tsaddik
ethics-and-emotions:virtues_humility	ethics-and-emotions	virtues_humility	ok		33	ethics-and-emotions:humility
characters-and-roles:hidden_righteous	characters-and-roles	hidden_righteous	ok		32	
ethics-and-emotions:joy	ethics-and-emotions	joy	ok		31	
kabbalah	kabbalah		no-colon		31	
social-relations:marriage_matchmaking	social-relations	marriage_matchmaking	ok		31	social:marriage
supernatural:demons	supernatural	demons	ok		31	characters-and-roles:demons
