name,source_edition,occurrences,editions,place_ref,context,_match_status,_match_method,_confidence,_person_id,_person_name_he,_person_name_en,_candidates
המגיד,Adat-Zadikim2024-09-25b,418,"Adat-Zadikim2024-09-25b,Adat-Zadikim2024-09-25b_corrected,Buzina_Denehora20251129_corrected,Hitgalut-HaZadikim2025-12-01_gemini,Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected,Kokhvei-Or2025-11-29_corrected,Maasiot-Pliot2026-01-10_corrected,Maasiot-veSihot-Zadikim2026-01-10_corrected,MaasiyotUmaamarimYekarim_with_annotations (1)_corrected,MaasyiotMzadikeiYesodeiOlam_20251128_corrected,Mifalot-HaZadikim2025-06-22_corrected,Shemen-Hatov2025-12-01_gemini,Shivei-Habesht2024-12-15_corrected,Shivhei-Harav2024-10-29,Shivhei-Harav2024-10-29_corrected,Shlosha-edrei-zon2025-11-28_corrected,Sipurei-Zadikim2025-06-22,Sipurei-Zadikim2025-06-22_corrected,Sipurim-Nehmadim20251129_corrected,SipurimUmaamarimYekarim_Hebrewbooks_org_3804_gemini,maase-zadikim2025-06-22,maase-zadikim2025-06-22_corrected,shivheiZadikim2026-01-10_corrected",,"שמעתי מאבא מארי שיחי' הרב הקדוש הגאון בו״ק מוה' מנחם מענדיל נ""י
                            מוויטעפסק בעהמ""ח ספר פרי
                            הארץ הי' לומד אצל הרב הק' המגיד הגדול
                 ",no_match,empty_input,0.0,,,,
בעש״ט,Buzina_Denehora20251129,398,"Buzina_Denehora20251129,Buzina_Denehora20251129_corrected,Maasiot-Pliot2026-01-10,Maasiot-Pliot2026-01-10_corrected,Maasiot-veSihot-Zadikim2026-01-10,Maasiot-veSihot-Zadikim2026-01-10_corrected,MaasiyotUmaamarimYekarim_with_annotations (1),MaasiyotUmaamarimYekarim_with_annotations (1)_corrected,MaasyiotMzadikeiYesodeiOlam_20251128,Sefer-Moraim-Gdolim2025-11-28,Sefer-Moraim-Gdolim2025-11-28_corrected,Sipurei-Kdoshim-2025-11-28,Sipurei-Kdoshim-2025-11-28_corrected,Sipurim-Nehmadim20251129,Sipurim-Nehmadim20251129_corrected,shivheiZadikim2026-01-10",,"מסיני. והייתי על קבר הבעש״ט ובקשתי ממנו שיהי׳ לי כח לקבל
					את התורה וחזרתי לביתי וקבלתי התורה בחג השבועות. בקולות
					וברקם. ועכשיו אני רואה שאין כח בידי ובקשתי מזקיני.
					הבעש״ט. שיקחו ממני זאת",name_exact,name_exact,0.95,Tsadik_001.001,ישראל בעל שם טוב,Israel Besht,Tsadik_001.001(0.95)|Tsadik_001.001(0.95)|Tsadik_001.001(0.95)|Tsadik_001.001(0.95)|Tsadik_001.001(0.95)|Tsadik_001.001(0.95)
הבעש״ט,Buzina_Denehora20251129_corrected,328,"Buzina_Denehora20251129_corrected,Hitgalut-HaZadikim2025-12-01_gemini,Kokhvei-Or2025-11-29_corrected,Maasiot-Pliot2026-01-10_corrected,Maasiot-veSihot-Zadikim2026-01-10,Maasiot-veSihot-Zadikim2026-01-10_corrected,MaasiyotUmaamarimYekarim_with_annotations (1),MaasiyotUmaamarimYekarim_with_annotations (1)_corrected,MaasyiotMzadikeiYesodeiOlam_20251128_corrected,Mifalot-HaZadikim2025-06-22,Shemen-Hatov2025-12-01_gemini,Shlosha-edrei-zon2025-11-28_corrected,Sipurei-Kdoshim-2025-11-28,Sipurei-Kdoshim-2025-11-28_corrected,SipureiAnsheiShem2025-12-01_gemini,Sipurim-Nehmadim20251129,Sipurim-Nehmadim20251129_corrected,SipurimUmaamarimYekarim_Hebrewbooks_org_3804_gemini,shivheiZadikim2026-01-10_corrected",,"פ""א בא מחותנו הרב הק'. ר׳ שלמה קארלינר ולק' טאלטשין
					והלך הרב ר שלמה מן האכסניא שלו אלי הרב הק׳ ר׳ ברוך.
					והלכו עמו עולם גדול מאנשי טאלטשין. וכשפתח הרב הק ר׳ שלמה.
					את הפתח נרתת לאחוריו. ו",name_exact,name_exact,0.95,Tsadik_001.001,ישראל בעל שם טוב,Israel Besht,Tsadik_001.001(0.95)|Tsadik_001.001(0.95)|Tsadik_001.001(0.95)|Tsadik_001.001(0.95)|Tsadik_001.001(0.95)|Tsadik_001.001(0.95)
"הבעש""ט",Adat-Zadikim2024-09-25b,323,"Adat-Zadikim2024-09-25b,Buzina_Denehora20251129_corrected,Hitgalut-HaZadikim2025-12-01_gemini,Khal-Hasidim2024-9-25,Kokhvei-Or2025-11-29_corrected,Maasiot-Pliot2026-01-10_corrected,MaasiyotUmaamarimYekarim_with_annotations (1),MaasiyotUmaamarimYekarim_with_annotations (1)_corrected,MaasyiotMzadikeiYesodeiOlam_20251128_corrected,Mifalot-HaZadikim2025-06-22,Shemen-Hatov2025-12-01_gemini,Sipurim-Nehmadim20251129_corrected,maase-zadikim2025-06-22",,"הבעש״ט ז""ל קודם פטירתו קרא לכל
                    התלמידים שלהם ויצוה להם איך יתנהגו וממה יהי' פרנסת כל אחד. ולקצת מהם גילה איך
                    שיתנהג הזמן אתם. והי' אצלו תלמיד אחד אשר היה משרתו ",name_exact,name_exact,0.95,Tsadik_001.001,ישראל בעל שם טוב,Israel Besht,Tsadik_001.001(0.95)|Tsadik_001.001(0.95)|Tsadik_001.001(0.95)|Tsadik_001.001(0.95)|Tsadik_001.001(0.95)|Tsadik_001.001(0.95)
ברוך,Buzina_Denehora20251129,283,"Buzina_Denehora20251129,Buzina_Denehora20251129_corrected,Hitgalut-HaZadikim2025-12-01_gemini,Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected,Kokhvei-Or2025-11-29,Kokhvei-Or2025-11-29_corrected,Maasiot-veSihot-Zadikim2026-01-10,Maasiot-veSihot-Zadikim2026-01-10_corrected,MaasiyotUmaamarimYekarim_with_annotations (1),MaasiyotUmaamarimYekarim_with_annotations (1)_corrected,Mifalot-HaZadikim2025-06-22,Mifalot-HaZadikim2025-06-22_corrected,Sefer-Moraim-Gdolim2025-11-28,Sefer-Moraim-Gdolim2025-11-28_corrected,Shivhei-Harav2024-10-29,Shivhei-Harav2024-10-29_corrected,Sipurei-Zadikim2025-06-22,Sipurei-Zadikim2025-06-22_corrected,maase-zadikim2025-06-22_corrected,shivheiZadikim2026-01-10,shivheiZadikim2026-01-10_corrected",,"בימי חורפו היה יושב הרב הק׳ ר״ר ברוך וצללה״ה בק""ק אוסטרא
					והי׳ נחבא אל הכלים ולא אמר שום תורה. פ""א ביקש
					אותו הרב הק' ר' פנחס מקאריץ לומר לו תורה. השיב לו אחות
					לנו קטנה. היינו השכל היא קט",no_match,no_match,0.0,,,,
משה,Adat-Zadikim2024-09-25b,242,"Adat-Zadikim2024-09-25b,Adat-Zadikim2024-09-25b_corrected,Buzina_Denehora20251129,Buzina_Denehora20251129_corrected,Dvarim-Yekarim2025-12-01_gemini,Hitgalut-HaZadikim2025-12-01_gemini,Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected,Kokhvei-Or2025-11-29,Kokhvei-Or2025-11-29_corrected,Maasiot-veSihot-Zadikim2026-01-10,Maasiot-veSihot-Zadikim2026-01-10_corrected,MaasiyotUmaamarimYekarim_with_annotations (1),MaasiyotUmaamarimYekarim_with_annotations (1)_corrected,MaasyiotMzadikeiYesodeiOlam_20251128,MaasyiotMzadikeiYesodeiOlam_20251128_corrected,Mifalot-HaZadikim2025-06-22,Mifalot-HaZadikim2025-06-22_corrected,Shemen-Hatov2025-12-01_gemini,Shivei-Habesht2024-12-15_corrected,Shivhei-Harav2024-10-29_corrected,Shlosha-edrei-zon2025-11-28,Shlosha-edrei-zon2025-11-28_corrected,Sipurei-Kdoshim-2025-11-28,Sipurei-Kdoshim-2025-11-28_corrected,Sipurei-Zadikim2025-06-22_corrected,Sipurim-Nehmadim20251129,Sipurim-Nehmadim20251129_corrected,SipurimUmaamarimYekarim_Hebrewbooks_org_3804_gemini,Smichat-Moshe_2025-08-26,maase-zadikim2025-06-22_corrected,shivheiZadikim2026-01-10,shivheiZadikim2026-01-10_corrected",,"לאנשי העיר קראקא המעוטרה ובעת ההוא התחיל
                    להופיע יקר וגדולת רבינו משה בעל המפה על
                        הש""ע אשר היי אז בן שמונה עשרה שנה ובכל קצוי ארץ שמעו את
                   ",name_exact,name_exact,0.95,Biblical_Moses,משה רבינו,Moses,Biblical_Moses(0.95)|Biblical_Moses(0.95)|Biblical_Moses(0.95)
דוד,Adat-Zadikim2024-09-25b,231,"Adat-Zadikim2024-09-25b,Adat-Zadikim2024-09-25b_corrected,Buzina_Denehora20251129,Buzina_Denehora20251129_corrected,Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected,Khal-Kdoshim2025-06-22_corrected,Kokhvei-Or2025-11-29,Kokhvei-Or2025-11-29_corrected,Maasiot-veSihot-Zadikim2026-01-10,Maasiot-veSihot-Zadikim2026-01-10_corrected,MaasyiotMzadikeiYesodeiOlam_20251128,MaasyiotMzadikeiYesodeiOlam_20251128_corrected,Mifalot-HaZadikim2025-06-22_corrected,PeerMikdoshim2024-10-13_corrected,Shemen-Hatov2025-12-01_gemini,Shivei-Habesht2024-12-15_corrected,Shivhei-Harav2024-10-29_corrected,Shlosha-edrei-zon2025-11-28,Shlosha-edrei-zon2025-11-28_corrected,Sipurei-Kdoshim-2025-11-28,Sipurei-Kdoshim-2025-11-28_corrected,Sipurei-Zadikim2025-06-22,Sipurei-Zadikim2025-06-22_corrected,SipureiAnsheiShem2025-12-01_gemini,Sipurim-Nehmadim20251129,Sipurim-Nehmadim20251129_corrected,SipurimUmaamarimYekarim_Hebrewbooks_org_3804_gemini,maase-zadikim2025-06-22,maase-zadikim2025-06-22_corrected,shivheiZadikim2026-01-10,shivheiZadikim2026-01-10_corrected",,"מעשה שנסע הרב הקדוש ר׳ דוד ממיקלייעב
                        להבעש״ט על יוה״כ והיה דרכו בקודש
                    תמיד להיות אצל הבעש״ט כל ימים הנוראים
                    היינו מקודם ר""ה עד אחר יוה״כ",name_exact,name_exact,0.95,Biblical_David,דוד המלך,King David,Biblical_David(0.95)
ליב,Adat-Zadikim2024-09-25b_corrected,223,"Adat-Zadikim2024-09-25b_corrected,Buzina_Denehora20251129,Buzina_Denehora20251129_corrected,Hitgalut-HaZadikim2025-12-01_gemini,Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected,MaasiyotUmaamarimYekarim_with_annotations (1),MaasiyotUmaamarimYekarim_with_annotations (1)_corrected,Mifalot-HaZadikim2025-06-22,Mifalot-HaZadikim2025-06-22_corrected,Shemen-Hatov2025-12-01_gemini,Shivei-Habesht2024-12-15_corrected,Shivhei-Harav2024-10-29,Shivhei-Harav2024-10-29_corrected,Sipurei-Zadikim2025-06-22,Sipurei-Zadikim2025-06-22_corrected,Sipurim-Nehmadim20251129,Sipurim-Nehmadim20251129_corrected,Smichat-Moshe_2025-08-26,maase-zadikim2025-06-22_corrected",,"המעשה המבואר בשבחי בעש״ט מהבעש״ט אשר היה אצל הדירזאווצעס
                    דק' סלוצק הרכיב שם חמר גמל ולא סיפרה
                    לאמיתה והוא לא אשם בזה כי עבור המרחק רב אשר מהעיר הנ""ל להכותב שבחי",phonetic,phonetic+trigram,0.5,Tsadik_012.154,הסבא מספאלא,Yehuda Leib,Tsadik_012.154(0.50)|Tsadik_012.077(0.50)|Tsadik_037.001(0.50)
ישראל,Adat-Zadikim2024-09-25b_corrected,218,"Adat-Zadikim2024-09-25b_corrected,Buzina_Denehora20251129,Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected,Khal-Kdoshim2025-06-22_corrected,Kokhvei-Or2025-11-29_corrected,Maasiot-veSihot-Zadikim2026-01-10,Maasiot-veSihot-Zadikim2026-01-10_corrected,MaasiyotUmaamarimYekarim_with_annotations (1),MaasiyotUmaamarimYekarim_with_annotations (1)_corrected,Mifalot-HaZadikim2025-06-22,Mifalot-HaZadikim2025-06-22_corrected,Shemen-Hatov2025-12-01_gemini,Shivei-Habesht2024-12-15_corrected,Shivhei-Harav2024-10-29,Shivhei-Harav2024-10-29_corrected,Sipurei-Zadikim2025-06-22,Sipurei-Zadikim2025-06-22_corrected,SipureiAnsheiShem2025-12-01_gemini,SipurimUmaamarimYekarim_Hebrewbooks_org_3804_gemini,maase-zadikim2025-06-22_corrected,tmimei_derech_2026-01-10,tmimei_derech_2026-01-10_corrected",,"מעשה מלידת הרב הגאון הקדוש מוה׳ ישראל מ״מ דק""ק קאזעניץ :",no_match,no_match,0.0,,,,
יעקב,Adat-Zadikim2024-09-25b,206,"Adat-Zadikim2024-09-25b,Adat-Zadikim2024-09-25b_corrected,Buzina_Denehora20251129,Buzina_Denehora20251129_corrected,Khal-Hasidim2024-9-25,Khal-Hasidim2024-9-25_corrected,Khal-Kdoshim2025-06-22_corrected,Kokhvei-Or2025-11-29_corrected,Maasiot-veSihot-Zadikim2026-01-10,Maasiot-veSihot-Zadikim2026-01-10_corrected,MaasiyotUmaamarimYekarim_with_annotations (1),MaasiyotUmaamarimYekarim_with_annotations (1)_corrected,MaasyiotMzadikeiYesodeiOlam_20251128,MaasyiotMzadikeiYesodeiOlam_20251128_corrected,Mifalot-HaZadikim2025-06-22_corrected,Shemen-Hatov2025-12-01_gemini,Shivei-Habesht2024-12-15_corrected,Shlosha-edrei-zon2025-11-28,Shlosha-edrei-zon2025-11-28_corrected,Sipurei-Kdoshim-2025-11-28,Sipurei-Kdoshim-2025-11-28_corrected,Sipurei-Zadikim2025-06-22,Sipurei-Zadikim2025-06-22_corrected,Sipurim-Nehmadim20251129,Sipurim-Nehmadim20251129_corrected,maase-zadikim2025-06-22,maase-zadikim2025-06-22_corrected,shivheiZadikim2026-01-10,shivheiZadikim2026-01-10_corrected,tmimei_derech_2026-01-10,tmimei_derech_2026-01-10_corrected",,"הבעש״ט ז""ל קודם פטירתו קרא לכל
                    התלמידים שלהם ויצוה להם איך יתנהגו וממה יהי' פרנסת כל אחד. ולקצת מהם גילה איך
                    שיתנהג הזמן אתם. והי' אצלו תלמיד אחד אשר היה משרתו ",name_exact,name_exact,0.95,Biblical_Jacob,יעקב אבינו,Jacob,Biblical_Jacob(0.95)
