Archive	File	title	date	month	month-newspaper	year	newspaper	page	facs	text	word number	dominant_topic	year_month
output (3).zip	output/002-HBKR-1956-01-01-0001.csv	002-HBKR-1956-01-01-0001	1956-01-01	1956-01	HBKR_1956-01	1956	HBKR	1	#facs_1_Ar0012403	יינתנו בצורת מלווה למימון תכנית פיתוח כלכלית מוסכמת שני הצדדים נמסר, חלק חסכום בנית מבב....... איסטר הוקדש לסלילת דר. נה. תבוצע, יחד זאת, התכנית הקמת נמלמים עמוקים בעקבה.	34	12	1956-01
output (3).zip	output/002-HBKR-1956-01-01-0001.csv	002-HBKR-1956-01-01-0001	1956-01-01	1956-01	HBKR_1956-01	1956	HBKR	2	#facs_2_Ar0020600	שיפור ושיפוץ הכניסות לבירה	4	12	1956-01
output (3).zip	output/002-HBKR-1956-01-01-0001.csv	002-HBKR-1956-01-01-0001	1956-01-01	1956-01	HBKR_1956-01	1956	HBKR	2	#facs_2_Ar0020602	"מקומה הטיילת, שתוקם בצלע רכס, אותר ע""י הועדה שתכננה הרחקתם מבנים, חורבות ושלטים המכערים הכניסה לבירת המדינה. הועדה החליטה לפנות שתי המשפחות הגרות ב„פיל בוקס"" (עמדה שהובכניסה מעבר מנדלבאום קמה ע״י הבריטים). יותקן „רוכב ספרדי"" (מחסום מיוחד במינו) במקום גדר התייל"	48	12	1956-01
output (3).zip	output/002-HBKR-1956-01-01-0001.csv	002-HBKR-1956-01-01-0001	1956-01-01	1956-01	HBKR_1956-01	1956	HBKR	3	#facs_3_Ar0031003	"תפיסת המקום השני ע""י קבוצת הכדורסל מכבי תל-אביב, בתחרויות הבינלאומיות חג המולד נערכו ימים מספר בבריסל, עוררה"	21	12	1956-01
output (3).zip	output/002-HBKR-1956-01-01-0001.csv	002-HBKR-1956-01-01-0001	1956-01-01	1956-01	HBKR_1956-01	1956	HBKR	4	#facs_4_Ar0040001	התמרמרות בארגון הבלתי תלוי עובדי עירית תל-אביב חזרו ביום הששי לעבודתם ופועלי הנקיון עבדו בקדחתנות בניקוי העיר לקראת חשבת וכן בהורקת פחי האשפה.	23	12	1956-01
output (3).zip	output/002-HBKR-1956-01-01-0001.csv	002-HBKR-1956-01-01-0001	1956-01-01	1956-01	HBKR_1956-01	1956	HBKR	4	#facs_4_Ar0040003	"אביב הסתדרות העובדים הלאומית התכנסה ביום ו׳ לישיבה ודנה המצב שנוצר בעירית תל-אביב לרגל הצעותיו הבורר-הממשלתי מר א. ורטהיים הצורך בארגון עובדים הוחלט לכנס היום, יום א, בשעה 4 אחה""צ, אסיפה כללית עובדי העיריה, חברי ה.ע.ל. כדי להחליט עמדת ה.ע.ל. כלפי הצעותיו מר ורטהיים."	52	12	1956-01
output (3).zip	output/002-HBKR-1956-01-01-0001.csv	002-HBKR-1956-01-01-0001	1956-01-01	1956-01	HBKR_1956-01	1956	HBKR	4	#facs_4_Ad0041300	"לשנת • מגדילה מענקה הספיות למבוטחיה 1956 מענק „הסנה"" לנאמני ביטוח-חיים מעורב קיים ועומד ועוד מוסיף והולך מתוך שקידה מתמדת תקנת מבוטחיה תגדיל „הסנה"" מענקה המיוחד ללא תוספת פרמיה. ל-1956, לכל פוליסה שהגיעה לגמר תקופתה, בכל מקרה מות המבוטח, לפי חישוב יסוד דירוג מסויים — כדי 45% ויותר בגמר תקופת הביטוח, ועד 85% ויותר במקרה מות — מסכום הביטוח. החישוב הנדון ייעשה לאחד נכיון סכום ההלואות המבוטח ל-31.1.1956, ניתנו 31.12.12. „הסנה"" החברה הראשונה והיחידה בארץ המעניקה זו השנה החמישית תוספת מיוחדת לנאמני ביטוח-חיים מעורב. המענק הזה התנאים הנ""ל יעמוד בתקפו מ-1.1.1956 31.12.1956 חברה ישראלית הסנה לביטוח בע""מ הודעת הועדה הראשית בישראל לבחירות לקונגרס הציוני הכ""ד א. בהתאם להוראת מחלקת הארגון ההנהלה הציונית נקבע הועד הארצי שקל בהרכבו הקיים כועדה הראשית בישראל לבחירות לקונגרס ר. הציוני הככי ב. סיכום מפעל השקל בארץ: יום הסיום לפעולת ההשקלה בארץ ט׳ שבט תשט״ז — 22 בינואר 1956. לאותו היום מקבלי השקלים להפצה לסכם באופן מוחלט חשבונות השקלים הועדים המקומיים ולפרוע התמורה בצרוף תלושיה השקלים שנשארו. יכום הועדים המקומיים: היום הראשון, ט״ו שבט תשט״ז — 29 בינואר 1956 המועד הסופי לסיכום חשבונות השקלים הועדים המקומיים הועד הארצי לשקל. מספר הנציגים בישראל לקונגרס יוקבע ורק לפי השקלים בלבד, שדמי שקליהם יכנסו לתאריך הנ״ל לקופת הועד הארצי לשקל (תל-אביב, רחוב לילינבלום 04)."	237	12	1956-01
output (3).zip	output/002-HBKR-1956-01-01-0001.csv	002-HBKR-1956-01-01-0001	1956-01-01	1956-01	HBKR_1956-01	1956	HBKR	4	#facs_4_Ar0041701	יושג הסדר מס הכנסה ימסרו בעלי המאפיות הנהלת עסקיהם למשרדי מס הכנסה, — נאמר בתזכיר ארגון האופים לנציב מס הכנסה.	24	12	1956-01
output (3).zip	output/002-HBKR-1956-01-01-0001.csv	002-HBKR-1956-01-01-0001	1956-01-01	1956-01	HBKR_1956-01	1956	HBKR	4	#facs_4_Ar0041703	בלתי מדויקות בתחשיב שעובד ע״י נציבות מס הכנסה. הסכומים הדמיוניים שמטילים בעלי המאפיות משמשים עדות נאמנה לחוסר תיאום מצב הענף הערכות פקידי שומה. — הודיעו ארגוני האופים בתזכיר שלהם. האופים תובעים בתזכיר לחדש מיד המו״מ שנפסק ולהגיע לידי הסדר	44	12	1956-01
output (3).zip	output/002-HBKR-1956-01-01-0001.csv	002-HBKR-1956-01-01-0001	1956-01-01	1956-01	HBKR_1956-01	1956	HBKR	4	#facs_4_Ar0041903	יים. ראש המועצה המקומית מר ד. בן- ארי רצה לקבל המשלחת. משהנערים נענו לפנייתו לעזוב האולם, הודיע מר בן-ארי הפסקת הישיבה. הישיבה חודשה לאחר שהמשטרה החזירה הסדר פנו.	35	12	1956-01
